worksheet_id,customer_type,business_type_name,question,star_level,content,path_name,t1,t2,t3,worksheet_channel,operator_id,HT (Seconds)
t360287970232198454,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Que tengan un mayor control de los operadores porque aunque fue la primera vez que me puse en contacto con ustedes_ no es la primera que los operadores me marcan para saber mi destino y si este es muy lejano_ cancelan el viaje o como ayer simplemente me dicen que no hacen cobros con TDC.,Duda_Viajes_Safety,Duda,Viajes,Safety,EMAIL,1218023,216
t360287970232198511,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Duda_Operación_Ciudad de lanzamiento,Duda,Operación,Ciudad de lanzamiento,EMAIL,1220591,185
t360287970232199932,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Cupón_Cupón no se aplicó por conductor,Queja,Cupón,Cupón no se aplicó por conductor,EMAIL,1215199,243
t360287970232200272,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,El costo de sus tarifas,Duda_App_¿Cómo solicito un viaje?,Duda,App,¿Cómo solicito un viaje?,FAQ,1233795,318
t360287970232200479,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,4,,Queja_Sobre el Pago_Desvío (No es problema del mapa),Queja,Sobre el Pago,Desvío (No es problema del mapa),EMAIL,1220511,257
t360287970232200811,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Rápido ,Duda_Viajes_Pago pendiente,Duda,Viajes,Pago pendiente,EMAIL,1235339,153
t360287970232201198,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Se m hacen justos los cobros ,Duda_Cambios en Onboarding_Como cambiar vehiculos,Duda,Cambios en Onboarding,Como cambiar vehiculos,EMAIL,1233855,200
t360287970232201705,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,Es un servicio pésimo está es la segunda ves que tengo problemas y ninguna solución me dan,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1233815,70
t360287970232201789,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,Cuando buscas un viaje aparece un precio y siempre al finalizar es más de lo antes indicado ,Duda_Sobre el conductor_No veo a mi conductor,Duda,Sobre el conductor,No veo a mi conductor,EMAIL,1213395,309
t360287970232202357,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,El servicio en algunas ocasiones ,Duda_Sobre el Pago_Conductor demora en finalizar mi viaje,Duda,Sobre el Pago,Conductor demora en finalizar mi viaje,EMAIL,1225167,278
t360287970232203064,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,,Queja_Sobre el Conductor_Mala Actitud,Queja,Sobre el Conductor,Mala Actitud,EMAIL,1213391,340
t360287970232203090,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,Lo único malo es que no puedo pagar con tarjeta por una extraña razón,Queja_Sobre el Pago_Queja sobre el aumento del precio,Queja,Sobre el Pago,Queja sobre el aumento del precio,EMAIL,1235339,265
t360287970232203140,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,1,,Queja_App_No puede cancelar el viaje (antes de que Conductor acepte el viaje),Queja,App,No puede cancelar el viaje (antes de que Conductor acepte el viaje),EMAIL,1213811,99
t360287970232203246,driver,Express,En general_ ¿Cómo calificas el servicio de DiDi?,2,Pagar los bonos que ofrecen...,Queja_Promoción_Bono no recibido por Terminos y Condiciones,Queja,Promoción,Bono no recibido por Terminos y Condiciones,EMAIL,1235331,80
t360287970232203368,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,5,,Queja_Sobre el Pago_Cargo Doble (en efectivo y tarjeta),Queja,Sobre el Pago,Cargo Doble (en efectivo y tarjeta),EMAIL,1215343,113
t360287970232203549,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Pues me equivoqué al momento de colocar la forma de pago y se lo entregue en efectivo y no me dijo nada_ solo tomo el efectivo y se. Retiro.Estoy muy molesta porque me pide concretar el pago a cargo de mi tarjeta y me aparece como viaje en curso aún. Entonces necesito que me lo resulvan proque le regrese mensajes a la conductora de muy mala manera me contestó. No sé si se esté aprovechando de la situación... ,Duda_Viajes_Pago pendiente,Duda,Viajes,Pago pendiente,EMAIL,1283419,202
t360287970232203587,passenger,Express,En general_ ¿Cómo calificas el servicio de DiDi?,3,Por el día de ayer me senti mal ,Queja_Sobre el Conductor_Se va por dirección contraria o no mueve para escogerme,Queja,Sobre el Conductor,Se va por dirección contraria o no mueve para escogerme,EMAIL,1233823,173
